cell_line,transfection_method,gene_formatted,gene_base,cell_death_mean,cell_death_std,n
PH5CH8,AAV2,Empty Vector,Control,-4.630011615950269,,1
PH5CH8,AAV2,GPC3 Scram,GPC3,-38.298349695652234,3.038612743799993,2
PH5CH8,AAV2,GPC3.1,GPC3,-41.75737847382954,10.67861794924547,2
PH5CH8,AAV2,GPC3.2,GPC3,-45.7254043671529,12.600365913653931,2
PH5CH8,AAV2,GPC3.3,GPC3,-38.803587983108116,2.8175494048953142,2
PH5CH8,AAV2,GPC3.4,GPC3,-29.98308836145973,8.29995687031815,2
PH5CH8,AAV2,IGFBP1 Scram,IGFBP1,-42.719119903517246,15.202778774524,2
PH5CH8,AAV2,IGFBP1.1,IGFBP1,-26.957880144625367,14.964118353915483,2
PH5CH8,AAV2,IGFBP1.2,IGFBP1,-34.031993857495365,30.259404009340987,2
PH5CH8,AAV2,IGFBP1.3,IGFBP1,-29.621808854045153,40.73247826812892,2
PH5CH8,AAV2,IGFBP1.4,IGFBP1,-43.41052817392571,7.5609405397344,2
PH5CH8,AAV2,PDGFRA Scram,PDGFRA,-19.50965506429508,6.52075748790654,2
PH5CH8,AAV2,PDGFRA.1,PDGFRA,-15.104438626182427,3.466869499571932,2
PH5CH8,AAV2,PDGFRA.2,PDGFRA,-15.600906315694619,0.6555523944467267,2
PH5CH8,AAV2,PDGFRA.3,PDGFRA,-25.595024274990653,8.686359456065306,2
PH5CH8,AAV2,PDGFRA.4,PDGFRA,-28.01272816824735,2.7411731822223606,2
PH5CH8,AAV2,PDL1 Scram,PDL1,-33.50921437415211,5.946224990471305,2
PH5CH8,AAV2,PDL1.1,PDL1,-30.83508930456133,10.848967476295273,2
PH5CH8,AAV2,PDL1.2,PDL1,-33.79652706541101,9.20510676046018,2
PH5CH8,AAV2,PDL1.3,PDL1,-12.9012039358444,28.17616615971278,2
PH5CH8,AAV2,PDL1.4,PDL1,-6.1810680995885665,29.499430043255764,2
PH5CH8,AAV2,Unknown_F7,Unknown_F7,-28.384938519404557,,1
PH5CH8,AAV2,Unknown_G1,Unknown_G1,-38.66805416168266,,1
PH5CH8,AAV2,Unknown_G2,Unknown_G2,-23.391746379736645,,1
PH5CH8,AAV2,Unknown_G3,Unknown_G3,-34.206455308217684,,1
PH5CH8,AAV2,Unknown_G4,Unknown_G4,-33.58888423921697,,1
PH5CH8,AAV2,Unknown_G5,Unknown_G5,-16.12537079076106,,1
PH5CH8,AAV2,Unknown_G6,Unknown_G6,-11.122414340081942,,1
PH5CH8,AAV2,Unknown_G7,Unknown_G7,-15.800901871760399,,1
PH5CH8,AAV2,Unknown_H1,Unknown_H1,-2.441336982297093,,1
PH5CH8,AAV2,Unknown_H2,Unknown_H2,-10.198693236455568,,1
PH5CH8,AAV2,Unknown_H3,Unknown_H3,-44.187914227131955,,1
PH5CH8,AAV2,Unknown_H4,Unknown_H4,-45.78312613490056,,1
PH5CH8,AAV2,Unknown_H5,Unknown_H5,-55.553399424510516,,1
PH5CH8,AAV2,Unknown_H6,Unknown_H6,-49.983594476189765,,1
PH5CH8,AAV2,Unknown_H7,Unknown_H7,-23.21097701128143,,1
PH5CH8,Lipo,Empty Vector,Control,99.27018954926655,,1
PH5CH8,Lipo,GPC3 Scram,GPC3,19.86557240980122,113.47691325731701,2
PH5CH8,Lipo,GPC3.1,GPC3,99.78203871958857,0.4356420898963834,2
